BANK,IFSC,MICR CODE,BRANCH,CITY,DISTRICT,STATE
SBI,SBIN0000001,700002021,KOLKATA MAIN,KOLKATA,KOLKATA,WEST BENGAL
SBI,SBIN0000002,799002002,AGARTALA,AGARTALA,WEST TRIPURA,TRIPURA
SBI,SBIN0000003,224002001,AKABARPUR,AKBARPUR,KANPUR DEHAT,UTTAR PRADESH
SBI,SBIN0000004,700002002,ALIPORE,KOLKATA,KOLKATA,WEST BENGAL
SBI,SBIN0000005,736002501,ALIPURDUAR,JALPAIGURI,JALPAIGURI,WEST BENGAL
SBI,SBIN0000006,211002002,ALLAHABAD,ALLAHABAD,ALLAHABAD,UTTAR PRADESH
SBI,SBIN0000007,759002001,ANGUL,ANGUL,ANGUL,ODISHA
SBI,SBIN0000008,712002102,ARAMBAGH,ARAMBAGH,HOOGHLY,WEST BENGAL
SBI,SBIN0000009,854002002,ARARIA,ARARIA,ARARIA,BIHAR
SBI,SBIN0000010,802002102,AARAH,ARRAH,BHOJPUR,BIHAR
SBI,SBIN0000011,713002100,ASANSOL,ASANSOL,BARDHAMAN,WEST BENGAL
SBI,SBIN0000012,761002010,ASKA,ASKA,GANJAM,ODISHA
SBI,SBIN0000013,824002002,AURANGABAD,AURANGABAD,AURANGABAD,BIHAR
SBI,SBIN0000014,276002001,AZAMGARH,AZAMGARH,AZAMGARH,UTTAR PRADESH
SBI,SBIN0000015,271002035,BAHRAICH,BAHRAICH,BAHRAICH,UTTAR PRADESH
SBI,SBIN0000016,756002001,BALASORE,BALASORE,BALASORE,ODISHA
SBI,SBIN0000017,277002002,BALLIA,BALLIA,BALIA,UTTAR PRADESH
SBI,SBIN0000018,700002010,BALLYGUNGE,BALLYGUNGE,KOLKATA,WEST BENGAL
SBI,SBIN0000019,271002028,BALRAMPUR,BALRAMPUR,BALRAMPUR,UTTAR PRADESH
SBI,SBIN0000020,733002102,BALURGHAT,BALURGHAT,DAKSHIN DINAJPUR,WEST BENGAL
SBI,SBIN0000021,210002016,BANDA,BANDA,BANDA,UTTAR PRADESH
SBI,SBIN0000022,722002002,BANKURA,BANKURA,BANKURA,WEST BENGAL
SBI,SBIN0000023,225002001,BARABANKI,BARABONKI,BARABANKI,UTTAR PRADESH
SBI,SBIN0000024,700002184,BARASAT,KOLKATA,KOLKATA,WEST BENGAL
SBI,SBIN0000025,768002013,BARGARH,BARGARH,BARGAH,ODISHA
SBI,SBIN0000026,803002102,BARH,BARH,PATNA,BIHAR
SBI,SBIN0000027,757002001,BARIPADA,BARIPADA,MAYURBHANJ,ODISHA
SBI,SBIN0000028,781002102,BARPETA,BARPETA,BARPETA,ASSAM
SBI,SBIN0000029,700002214,BARRACKPORE,BARRACKPUR,NORTH 24 PARGANAS,WEST BENGAL
SBI,SBIN0000030,743002101,BASHIRHAT,BASIRHAT,NORTH 24 PARGANAS,WEST BENGAL
SBI,SBIN0000031,272002001,BASTI,BASTI,BASTI,UTTAR PRADESH
SBI,SBIN0000032,851002102,BEGUSARAI,BEGUSARAI,BEGUSARAI,BIHAR
SBI,SBIN0000033,760002991,BERHAMPUR,BERHAMPORE,GANJAM,ODISHA
SBI,SBIN0000034,742002001,BERHAMPORE,BERHAMPORE,MURSHIDABAD,WEST BENGAL
SBI,SBIN0000035,845002902,BETTIAH,BETTIAH,WEST CHAMPARAN,BIHAR
SBI,SBIN0000036,756002100,BHADRAK,BHADRAK,BHADRAK,ODISHA
SBI,SBIN0000037,812002002,BHAGALPUR,BHAGALPUR,BHAGALPUR,BIHAR
SBI,SBIN0000038,761002126,BHANJANAGAR,BHANJANAGAR,GANJAM,ODISHA
